system:index,bands_value,label,latitude,longitude,system:time_start,.geo
0_2021_05,"{B2=802.5, B3=999.5, B4=814.0, B5=755.5, B6=321.0, B7=315.5, B8=290.5, B8A=220.0, B11=228.0, B12=189.5, VV=-17.93544624408529, VH=-26.29116588345185}",3,29.199124332133113,121.58622140376599,2021-05-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_06,"{B2=895.2459016393443, B3=1113.5901639344263, B4=929.360655737705, B5=924.4754098360656, B6=463.04098360655735, B7=471.0081967213115, B8=401.0327868852459, B8A=335.61475409836066, B11=256.45901639344265, B12=222.5327868852459, VV=-18.703667454299914, VH=-26.258130818867475}",3,29.199124332133113,121.58622140376599,2021-06-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_07,"{B2=985.0, B3=1224.0, B4=1041.0, B5=1088.0, B6=600.5, B7=621.5, B8=508.0, B8A=447.5, B11=284.0, B12=254.5, VV=-18.703390626300866, VH=-26.15828208708136}",3,29.199124332133113,121.58622140376599,2021-07-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_08,"{B2=674.5, B3=930.0, B4=738.5, B5=784.5, B6=339.0, B7=329.5, B8=288.5, B8A=201.5, B11=122.5, B12=111.5, VV=-19.60165379901868, VH=-26.441223503237445}",3,29.199124332133113,121.58622140376599,2021-08-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_09,"{B2=877.0, B3=1137.0, B4=858.0, B5=944.5, B6=437.0, B7=478.5, B8=392.0, B8A=304.5, B11=128.5, B12=84.5, VV=-18.95839793799074, VH=-26.315932132621835}",3,29.199124332133113,121.58622140376599,2021-09-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_10,"{B2=842.0, B3=1118.0, B4=869.0, B5=1050.0, B6=469.0, B7=468.0, B8=372.0, B8A=272.0, B11=78.0, B12=68.0, VV=-18.184468377300337, VH=-26.854546036551223}",3,29.199124332133113,121.58622140376599,2021-10-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_11,"{B2=749.0, B3=1140.0, B4=941.0, B5=819.0, B6=257.0, B7=213.0, B8=214.0, B8A=126.0, B11=61.0, B12=65.0, VV=-18.233818684089286, VH=-26.957520481371763}",3,29.199124332133113,121.58622140376599,2021-11-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_12,"{B2=659.5, B3=994.0, B4=727.0, B5=692.5, B6=305.0, B7=275.0, B8=262.0, B8A=166.5, B11=102.0, B12=70.0, VV=-21.204685918036187, VH=-25.919058762358247}",3,29.199124332133113,121.58622140376599,2021-12-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2022_01,"{B2=465.0, B3=744.0, B4=488.0, B5=545.0, B6=116.0, B7=142.0, B8=127.0, B8A=77.0, B11=94.0, B12=72.0, VV=-19.611525728608633, VH=-26.05814846530465}",3,29.199124332133113,121.58622140376599,2022-01-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2022_02,"{B2=505.0, B3=746.5, B4=491.0, B5=510.0, B6=133.0, B7=129.5, B8=111.0, B8A=84.0, B11=125.5, B12=106.0, VV=-18.249547086052928, VH=-25.862873995012624}",3,29.199124332133113,121.58622140376599,2022-02-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
