system:index,probability,.geo
197_0,0.09880389,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,0.24883893,"{""type"":""MultiPoint"",""coordinates"":[]}"
200_0,0.43402666,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,0.9916289,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,0.075928405,"{""type"":""MultiPoint"",""coordinates"":[]}"
203_0,0.2769399,"{""type"":""MultiPoint"",""coordinates"":[]}"
206_0,0.08602925,"{""type"":""MultiPoint"",""coordinates"":[]}"
209_0,0.10285099,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,0.5786386,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,0.18456773,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,0.03296321,"{""type"":""MultiPoint"",""coordinates"":[]}"
215_0,0.006431945,"{""type"":""MultiPoint"",""coordinates"":[]}"
216_0,0.0042020893,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,0.056604736,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,0.76569724,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,0.15426794,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,0.0139602395,"{""type"":""MultiPoint"",""coordinates"":[]}"
238_0,0.075928405,"{""type"":""MultiPoint"",""coordinates"":[]}"
244_0,0.06765379,"{""type"":""MultiPoint"",""coordinates"":[]}"
246_0,0.38941467,"{""type"":""MultiPoint"",""coordinates"":[]}"
250_0,0.10285099,"{""type"":""MultiPoint"",""coordinates"":[]}"
252_0,0.08016755,"{""type"":""MultiPoint"",""coordinates"":[]}"
253_0,0.026411777,"{""type"":""MultiPoint"",""coordinates"":[]}"
255_0,0.17270221,"{""type"":""MultiPoint"",""coordinates"":[]}"
258_0,0.23077728,"{""type"":""MultiPoint"",""coordinates"":[]}"
262_0,0.10285099,"{""type"":""MultiPoint"",""coordinates"":[]}"
263_0,0.12348225,"{""type"":""MultiPoint"",""coordinates"":[]}"
269_0,0.18456773,"{""type"":""MultiPoint"",""coordinates"":[]}"
273_0,0.5364599,"{""type"":""MultiPoint"",""coordinates"":[]}"
277_0,0.08817687,"{""type"":""MultiPoint"",""coordinates"":[]}"
