variable,x_value,probability
bio_12,550.0,0.20320215821266174
bio_12,558.0301003344482,0.20320215821266174
bio_12,566.0602006688963,0.4829908311367035
bio_12,574.0903010033445,0.2693989872932434
bio_12,582.1204013377926,0.2693989872932434
bio_12,590.1505016722408,0.2693989872932434
bio_12,598.180602006689,0.2693989872932434
bio_12,606.2107023411371,0.2693989872932434
bio_12,614.2408026755853,0.2693989872932434
bio_12,622.2709030100334,0.2693989872932434
bio_12,630.3010033444816,0.2693989872932434
bio_12,638.3311036789298,0.2693989872932434
bio_12,646.3612040133779,0.2693989872932434
bio_12,654.3913043478261,0.2693989872932434
bio_12,662.4214046822742,0.2693989872932434
bio_12,670.4515050167224,0.2693989872932434
bio_12,678.4816053511706,0.2693989872932434
bio_12,686.5117056856187,0.2693989872932434
bio_12,694.5418060200669,0.2693989872932434
bio_12,702.571906354515,0.2693989872932434
bio_12,710.6020066889632,0.2693989872932434
bio_12,718.6321070234114,0.2693989872932434
bio_12,726.6622073578595,0.2693989872932434
bio_12,734.6923076923077,0.2693989872932434
bio_12,742.7224080267558,0.2693989872932434
bio_12,750.752508361204,0.2693989872932434
bio_12,758.7826086956522,0.2693989872932434
bio_12,766.8127090301003,0.2693989872932434
bio_12,774.8428093645484,0.2693989872932434
bio_12,782.8729096989966,0.2693989872932434
bio_12,790.9030100334448,0.2693989872932434
bio_12,798.933110367893,0.2693989872932434
bio_12,806.9632107023411,0.2693989872932434
bio_12,814.9933110367892,0.2693989872932434
bio_12,823.0234113712374,0.2693989872932434
bio_12,831.0535117056857,0.2693989872932434
bio_12,839.0836120401339,0.2693989872932434
bio_12,847.113712374582,0.2693989872932434
bio_12,855.14381270903,0.2693989872932434
bio_12,863.1739130434783,0.2693989872932434
bio_12,871.2040133779265,0.2693989872932434
bio_12,879.2341137123747,0.2693989872932434
bio_12,887.2642140468228,0.2693989872932434
bio_12,895.2943143812709,0.2693989872932434
bio_12,903.3244147157191,0.2693989872932434
bio_12,911.3545150501673,0.2693989872932434
bio_12,919.3846153846155,0.2693989872932434
bio_12,927.4147157190636,0.2693989872932434
bio_12,935.4448160535117,0.2693989872932434
bio_12,943.4749163879599,0.2693989872932434
bio_12,951.5050167224081,0.2693989872932434
bio_12,959.5351170568563,0.2693989872932434
bio_12,967.5652173913044,0.2693989872932434
bio_12,975.5953177257525,0.2693989872932434
bio_12,983.6254180602007,0.2693989872932434
bio_12,991.6555183946489,0.2693989872932434
bio_12,999.685618729097,0.2693989872932434
bio_12,1007.7157190635452,0.2693989872932434
bio_12,1015.7458193979933,0.2693989872932434
bio_12,1023.7759197324415,0.2693989872932434
bio_12,1031.8060200668897,0.2693989872932434
bio_12,1039.8361204013377,0.2693989872932434
bio_12,1047.866220735786,0.2693989872932434
bio_12,1055.896321070234,0.2693989872932434
bio_12,1063.9264214046823,0.2693989872932434
bio_12,1071.9565217391305,0.2693989872932434
bio_12,1079.9866220735785,0.2693989872932434
bio_12,1088.016722408027,0.2693989872932434
bio_12,1096.046822742475,0.2693989872932434
bio_12,1104.076923076923,0.2693989872932434
bio_12,1112.1070234113713,0.2693989872932434
bio_12,1120.1371237458193,0.2693989872932434
bio_12,1128.1672240802677,0.2693989872932434
bio_12,1136.1973244147157,0.2693989872932434
bio_12,1144.227424749164,0.2693989872932434
bio_12,1152.257525083612,0.2693989872932434
bio_12,1160.28762541806,0.2693989872932434
bio_12,1168.3177257525085,0.2693989872932434
bio_12,1176.3478260869565,0.2693989872932434
bio_12,1184.3779264214047,0.2693989872932434
bio_12,1192.408026755853,0.2693989872932434
bio_12,1200.438127090301,0.2693989872932434
bio_12,1208.4682274247493,0.2693989872932434
bio_12,1216.4983277591973,0.2693989872932434
bio_12,1224.5284280936455,0.2693989872932434
bio_12,1232.5585284280937,0.2693989872932434
bio_12,1240.5886287625417,0.2693989872932434
bio_12,1248.6187290969901,0.2693989872932434
bio_12,1256.6488294314381,0.2693989872932434
bio_12,1264.6789297658863,0.2693989872932434
bio_12,1272.7090301003345,0.2693989872932434
bio_12,1280.7391304347825,0.2693989872932434
bio_12,1288.769230769231,0.2693989872932434
bio_12,1296.799331103679,0.2693989872932434
bio_12,1304.8294314381271,0.2693989872932434
bio_12,1312.8595317725753,0.2693989872932434
bio_12,1320.8896321070233,0.2693989872932434
bio_12,1328.9197324414718,0.2693989872932434
bio_12,1336.9498327759197,0.36052700877189636
bio_12,1344.979933110368,0.36052700877189636
bio_12,1353.0100334448161,0.36052700877189636
bio_12,1361.0401337792641,0.36052700877189636
bio_12,1369.0702341137126,0.36052700877189636
bio_12,1377.1003344481605,0.36052700877189636
bio_12,1385.1304347826087,0.36052700877189636
bio_12,1393.160535117057,0.36052700877189636
bio_12,1401.190635451505,0.36052700877189636
bio_12,1409.2207357859534,0.36052700877189636
bio_12,1417.2508361204013,0.36052700877189636
bio_12,1425.2809364548496,0.36052700877189636
bio_12,1433.3110367892978,0.36052700877189636
bio_12,1441.3411371237457,0.36052700877189636
bio_12,1449.371237458194,0.36052700877189636
bio_12,1457.4013377926422,0.36052700877189636
bio_12,1465.4314381270904,0.36052700877189636
bio_12,1473.4615384615386,0.36052700877189636
bio_12,1481.4916387959865,0.36052700877189636
bio_12,1489.5217391304348,0.36052700877189636
bio_12,1497.551839464883,0.36052700877189636
bio_12,1505.5819397993312,0.36052700877189636
bio_12,1513.6120401337794,0.36052700877189636
bio_12,1521.6421404682274,0.36052700877189636
bio_12,1529.6722408026756,0.36052700877189636
bio_12,1537.7023411371238,0.36052700877189636
bio_12,1545.732441471572,0.36052700877189636
bio_12,1553.7625418060202,0.36052700877189636
bio_12,1561.7926421404682,0.36052700877189636
bio_12,1569.8227424749164,0.2204550951719284
bio_12,1577.8528428093646,0.2204550951719284
bio_12,1585.8829431438128,0.2204550951719284
bio_12,1593.913043478261,0.2204550951719284
bio_12,1601.943143812709,0.2204550951719284
bio_12,1609.9732441471572,0.2204550951719284
bio_12,1618.0033444816054,0.2204550951719284
bio_12,1626.0334448160536,0.2204550951719284
bio_12,1634.0635451505018,0.2204550951719284
bio_12,1642.0936454849498,0.2204550951719284
bio_12,1650.123745819398,0.2204550951719284
bio_12,1658.1538461538462,0.2204550951719284
bio_12,1666.1839464882944,0.2204550951719284
