system:index,bands_value,label,latitude,longitude,system:time_start,.geo
0_2020_01,"{B2=667.5, B3=749.5, B4=860.0, B5=1086.5, B6=1274.5, B7=1391.0, B8=1454.0, B8A=1596.5, B11=1587.5, B12=1018.0, VV=-11.953368526391273, VH=-13.79749623258025}",1,31.159959375802394,121.97857638134374,2020-01-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_02,"{B2=418.0, B3=569.0, B4=679.0, B5=818.0, B6=958.0, B7=1048.0, B8=1202.0, B8A=1226.0, B11=1555.5, B12=988.5, VV=-12.482997342323372, VH=-12.592700099949894}",1,31.159959375802394,121.97857638134374,2020-02-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_03,"{B2=583.0, B3=657.0, B4=731.5, B5=858.0, B6=983.5, B7=1042.0, B8=1152.0, B8A=1171.5, B11=1671.5, B12=1204.0, VV=-11.203802432027715, VH=-14.708673039049533}",1,31.159959375802394,121.97857638134374,2020-03-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_04,"{B2=713.0, B3=785.0, B4=839.0, B5=949.0, B6=1198.0, B7=1320.0, B8=1346.0, B8A=1434.0, B11=1677.0, B12=1181.0, VV=-9.83208011186979, VH=-14.37714289757678}",1,31.159959375802394,121.97857638134374,2020-04-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_05,"{B2=728.0, B3=820.0, B4=775.5, B5=949.5, B6=1190.5, B7=1290.0, B8=1310.0, B8A=1392.0, B11=1491.0, B12=980.5, VV=-11.798168425702308, VH=-16.69813155371304}",1,31.159959375802394,121.97857638134374,2020-05-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_06,"{B2=597.5978260869565, B3=773.8369565217391, B4=644.4239130434783, B5=961.9673913043479, B6=1686.163043478261, B7=1918.086956521739, B8=1893.945652173913, B8A=2036.2608695652175, B11=1507.0054347826087, B12=892.7228260869565, VV=-13.859193157737476, VH=-16.195064216647523}",1,31.159959375802394,121.97857638134374,2020-06-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_07,"{B2=471.4021739130435, B3=729.1630434782609, B4=517.5760869565217, B5=974.0326086956521, B6=2165.836956521739, B7=2525.913043478261, B8=2459.054347826087, B8A=2659.7391304347825, B11=1522.4945652173913, B12=807.7771739130435, VV=-14.126927345327887, VH=-16.32201460034443}",1,31.159959375802394,121.97857638134374,2020-07-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_08,"{B2=341.0, B3=683.0, B4=386.5, B5=986.5, B6=2661.5, B7=3154.0, B8=3043.0, B8A=3304.0, B11=1538.5, B12=720.0, VV=-13.857694300124354, VH=-17.733816361569396}",1,31.159959375802394,121.97857638134374,2020-08-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_09,"{B2=271.5, B3=497.0, B4=325.0, B5=742.0, B6=1883.5, B7=2269.0, B8=2329.5, B8A=2488.5, B11=1092.0, B12=530.5, VV=-12.053393243083, VH=-18.676535940682}",1,31.159959375802394,121.97857638134374,2020-09-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_10,"{B2=358.5, B3=555.5, B4=454.5, B5=877.5, B6=1942.5, B7=2308.0, B8=2332.0, B8A=2480.5, B11=1065.5, B12=533.5, VV=-13.784758391063392, VH=-15.455578111984652}",1,31.159959375802394,121.97857638134374,2020-10-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
